Sample 358: No. iterations = 512, Error = 0.5
Sample 359: No. iterations = 512, Error = 0.5
Sample 360: No. iterations = 512, Error = 0.5
Sample 361: No. iterations = 512, Error = 0.5
Sample 362: No. iterations = 512, Error = 0.5
Sample 363: No. iterations = 512, Error = 0.5
Sample 364: No. iterations = 512, Error = 0.5
Sample 365: No. iterations = 512, Error = 0.5
Sample 366: No. iterations = 512, Error = 0.5
Sample 367: No. iterations = 512, Error = 0.5
Sample 368: No. iterations = 512, Error = 0.5
Sample 369: No. iterations = 512, Error = 0.5
Sample 370: No. iterations = 512, Error = 0.5
Sample 371: No. iterations = 512, Error = 0.5
Sample 372: No. iterations = 512, Error = 0.5
Sample 373: No. iterations = 512, Error = 0.5
Sample 374: No. iterations = 512, Error = 0.5
Sample 375: No. iterations = 512, Error = 0.5
Sample 376: No. iterations = 512, Error = 0.5
Sample 377: No. iterations = 512, Error = 0.5
Sample 378: No. iterations = 512, Error = 0.5
Sample 379: No. iterations = 512, Error = 0.5
Sample 380: No. iterations = 512, Error = 0.5
Sample 381: No. iterations = 512, Error = 0.5
Sample 382: No. iterations = 512, Error = 0.5
Sample 383: No. iterations = 512, Error = 0.5
Sample 384: No. iterations = 512, Error = 0.5
Sample 385: No. iterations = 512, Error = 0.5
Sample 386: No. iterations = 512, Error = 0.5
Sample 387: No. iterations = 512, Error = 0.5
Sample 388: No. iterations = 512, Error = 0.5
Sample 389: No. iterations = 512, Error = 0.500647
Sample 390: No. iterations = 512, Error = 0.5
Sample 391: No. iterations = 512, Error = 0.5
Sample 392: No. iterations = 512, Error = 0.5
Sample 393: No. iterations = 512, Error = 0.5
Sample 394: No. iterations = 512, Error = 0.5
Sample 395: No. iterations = 512, Error = 0.5
Sample 396: No. iterations = 512, Error = 0.5
Sample 397: No. iterations = 512, Error = 0.5
Sample 398: No. iterations = 512, Error = 0.5
Sample 399: No. iterations = 512, Error = 0.5
Sample 400: No. iterations = 512, Error = 0.5
Sample 401: No. iterations = 512, Error = 0.5
Sample 402: No. iterations = 512, Error = 0.5
Sample 403: No. iterations = 512, Error = 0.5
Sample 404: No. iterations = 512, Error = 0.5
Sample 405: No. iterations = 512, Error = 0.5
Sample 406: No. iterations = 512, Error = 0.5
Sample 407: No. iterations = 512, Error = 0.5
Sample 408: No. iterations = 512, Error = 0.5
Sample 409: No. iterations = 512, Error = 0.5
Sample 410: No. iterations = 512, Error = 0.5
Sample 411: No. iterations = 512, Error = 0.5
Sample 412: No. iterations = 512, Error = 0.5
Sample 413: No. iterations = 512, Error = 0.502585
Sample 414: No. iterations = 512, Error = 0.5
Sample 415: No. iterations = 512, Error = 0.5
Sample 416: No. iterations = 512, Error = 0.5
Sample 417: No. iterations = 512, Error = 0.5
Sample 418: No. iterations = 512, Error = 0.5
Sample 419: No. iterations = 512, Error = 0.5
Sample 420: No. iterations = 512, Error = 0.5
Sample 421: No. iterations = 512, Error = 0.5
Sample 422: No. iterations = 512, Error = 0.5
Sample 423: No. iterations = 512, Error = 0.500678
Sample 424: No. iterations = 512, Error = 0.5
Sample 425: No. iterations = 512, Error = 0.5
Sample 426: No. iterations = 512, Error = 0.5
Sample 427: No. iterations = 512, Error = 0.5
Sample 428: No. iterations = 512, Error = 0.5
Sample 429: No. iterations = 512, Error = 0.5
Sample 430: No. iterations = 512, Error = 0.00204525
Sample 431: No. iterations = 512, Error = 0.5
Sample 432: No. iterations = 512, Error = 0.5
Sample 433: No. iterations = 512, Error = 0.5
Sample 434: No. iterations = 512, Error = 0.5
Sample 435: No. iterations = 512, Error = 0.5
Sample 436: No. iterations = 512, Error = 0.5
Sample 437: No. iterations = 512, Error = 0.500223
Sample 438: No. iterations = 512, Error = 0.5
Sample 439: No. iterations = 512, Error = 0.5
Sample 440: No. iterations = 512, Error = 0.5
Sample 441: No. iterations = 512, Error = 0.5
Sample 442: No. iterations = 512, Error = 0.5
Sample 443: No. iterations = 512, Error = 0.5
Sample 444: No. iterations = 512, Error = 0.5
Sample 445: No. iterations = 512, Error = 0.5
Sample 446: No. iterations = 512, Error = 0.5
Sample 447: No. iterations = 512, Error = 0.5
Sample 448: No. iterations = 512, Error = 0.5
Sample 449: No. iterations = 512, Error = 0.5
Sample 450: No. iterations = 512, Error = 0.5
Sample 451: No. iterations = 512, Error = 0.5
Sample 452: No. iterations = 512, Error = 0.5
Sample 453: No. iterations = 512, Error = 0.5
Sample 454: No. iterations = 512, Error = 0.5
Sample 455: No. iterations = 512, Error = 0.5
Sample 456: No. iterations = 512, Error = 0.5
Sample 457: No. iterations = 512, Error = 0.5
Sample 458: No. iterations = 512, Error = 0.5
Sample 459: No. iterations = 512, Error = 0.00112986
Sample 460: No. iterations = 512, Error = 0.5
Sample 461: No. iterations = 512, Error = 0.5
Sample 462: No. iterations = 512, Error = 0.5
Sample 463: No. iterations = 512, Error = 0.00324893
Sample 464: No. iterations = 512, Error = 0.5
Sample 465: No. iterations = 512, Error = 0.5
Sample 466: No. iterations = 512, Error = 0.5
Sample 467: No. iterations = 512, Error = 0.0182836
Sample 468: No. iterations = 512, Error = 0.5
Sample 469: No. iterations = 512, Error = 0.5
Sample 470: No. iterations = 512, Error = 0.5
Sample 471: No. iterations = 512, Error = 0.5
Sample 472: No. iterations = 512, Error = 0.5
Sample 473: No. iterations = 512, Error = 0.5
Sample 474: No. iterations = 512, Error = 0.5
Sample 475: No. iterations = 512, Error = 0.5
Sample 476: No. iterations = 512, Error = 0.5
Sample 477: No. iterations = 512, Error = 0.5
Sample 478: No. iterations = 512, Error = 0.5
Sample 479: No. iterations = 512, Error = 0.5
Sample 480: No. iterations = 512, Error = 0.5
Sample 481: No. iterations = 512, Error = 0.5
Sample 482: No. iterations = 512, Error = 0.5
Sample 483: No. iterations = 512, Error = 0.5
Sample 484: No. iterations = 512, Error = 0.500198
Sample 485: No. iterations = 512, Error = 0.5
Sample 486: No. iterations = 512, Error = 0.5
Sample 487: No. iterations = 512, Error = 0.5
Sample 488: No. iterations = 512, Error = 0.5
Sample 489: No. iterations = 512, Error = 0.5
Sample 490: No. iterations = 512, Error = 0.5
Sample 491: No. iterations = 512, Error = 0.5
Sample 492: No. iterations = 512, Error = 0.48923
Sample 493: No. iterations = 512, Error = 0.5
Sample 494: No. iterations = 512, Error = 0.5
Sample 495: No. iterations = 512, Error = 0.5
Sample 496: No. iterations = 512, Error = 0.5
Sample 497: No. iterations = 512, Error = 0.5
Sample 498: No. iterations = 512, Error = 0.5
